"","Trimestre","Instituicao","Indice","Procedentes","Total_Reclamacoes","Clientes","Razao"
"79",4,"PAYPAL DO BRASIL SERVICOS DE PAGAMENTOS LTDA",189.44,34,80,179473,42.5
"80",4,"PEFISA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",11.43,106,176,9273360,60.2272727272727
"81",4,"PORTO SEGURO (conglomerado)",59.1,177,408,2994558,43.3823529411765
"82",4,"RECARGAPAY (conglomerado)",7.01,53,100,7559390,53
"83",4,"SAFRA (conglomerado)",63.88,369,1052,5775583,35.0760456273764
"84",4,"SANTANDER (conglomerado)",21.05,1306,6018,62028657,21.7015619807245
"85",4,"STONE (conglomerado)",14.82,42,160,2832151,26.25
"86",4,"VOTORANTIM (conglomerado)",13.05,190,528,14551717,35.9848484848485
"87",4,"WILL (conglomerado)",36.34,134,280,3686960,47.8571428571429
"88",4,"XP (conglomerado)",85.29,118,167,1383442,70.6586826347305
